chapter_no,title,subject,exam,exam_group,year,questions,max_question_seen,start_pdf_page,end_pdf_page,toc_pdf_page,printed_page
263,Paediatrics INI-CET 2021,Pediatrics,INI-CET,AIIMS/INI-CET,2021,11,11,5526,5541,5410,5613
264,Paediatrics NEET 2021,Pediatrics,NEET PG,NEET PG,2021,8,8,5542,5557,5410,5629
265,Paediatrics INI-CET 2022,Pediatrics,INI-CET,AIIMS/INI-CET,2022,23,23,5558,5584,5410,5645
266,Paediatrics NEET 2022,Pediatrics,NEET PG,NEET PG,2022,14,14,5585,5612,5410,5672
267,Paediatrics NEET 2023,Pediatrics,NEET PG,NEET PG,2023,10,10,5613,5626,5410,5700
268,Paediatrics INI-CET 2023,Pediatrics,INI-CET,AIIMS/INI-CET,2023,17,17,5627,5647,5410,5714
269,Paediatrics INI-CET 2024,Pediatrics,INI-CET,AIIMS/INI-CET,2024,25,25,5648,5672,5410,5735
270,Paediatrics NEET 2024,Pediatrics,NEET PG,NEET PG,2024,8,8,5673,5689,5410,5760
271,Obstetrics and Gynecology AIIMS 2017,Obstetrics & Gynecology,AIIMS,AIIMS/INI-CET,2017,0,0,5690,5689,5689,5776
274,Obstetrics and Gynecology AIIMS 2020 (May & Nov INI-CET),Obstetrics & Gynecology,AIIMS,AIIMS/INI-CET,2020,35,35,5690,5727,5689,5875
272,Obstetrics and Gynecology AIIMS 2018,Obstetrics & Gynecology,AIIMS,AIIMS/INI-CET,2018,35,35,5728,5765,5689,5814
273,Obstetrics and Gynecology AIIMS 2019 (May & Nov),Obstetrics & Gynecology,AIIMS,AIIMS/INI-CET,2019,41,23,5766,5813,5689,5852
275,Obstetrics and Gynecology NEET 2018,Obstetrics & Gynecology,NEET PG,NEET PG,2018,25,25,5814,5840,5689,5900
276,Obstetrics and Gynecology NEET 2019,Obstetrics & Gynecology,NEET PG,NEET PG,2019,26,26,5841,5865,5689,5927
277,Obstetrics and Gynecology NEET 2020,Obstetrics & Gynecology,NEET PG,NEET PG,2020,28,28,5866,5896,5689,5952
278,Obstetrics and Gynecology INICET 2021,Obstetrics & Gynecology,INI-CET,AIIMS/INI-CET,2021,42,42,5897,5960,5689,5983
279,Obstetrics & Gynecology NEET 2021,Obstetrics & Gynecology,NEET PG,NEET PG,2021,19,19,5961,5986,5689,6047
280,Obstetrics and Gynecology INICET 2022,Obstetrics & Gynecology,INI-CET,AIIMS/INI-CET,2022,52,52,5987,6046,5689,6073
281,Obstetrics and Gynecology NEET 2022,Obstetrics & Gynecology,NEET PG,NEET PG,2022,25,25,6047,6079,5689,6133
282,Obstetrics and Gynecology NEET 2023,Obstetrics & Gynecology,NEET PG,NEET PG,2023,18,18,6080,6104,5689,6166
283,Obstetrics and Gynecology INI-CET 2023,Obstetrics & Gynecology,INI-CET,AIIMS/INI-CET,2023,28,28,6105,6138,5689,6191
284,Obstetrics and Gynecology INI-CET 2024,Obstetrics & Gynecology,INI-CET,AIIMS/INI-CET,2024,29,29,6139,6175,5689,6225
285,Obstetrics and Gynecology NEET 2024,Obstetrics & Gynecology,NEET PG,NEET PG,2024,45,45,6176,6236,5689,6262
240,Surgery NEET 2024,Surgery,NEET PG,NEET PG,2024,0,,,,4639,5146
