chapter_no,title,subject,exam,exam_group,year,questions,max_question_seen,start_pdf_page,end_pdf_page,toc_pdf_page,printed_page
57,Pharmacology NEET 2023,Pharmacology,NEET PG,NEET PG,2023,12,12,1224,1235,965,1235
58,Pharmacology INI-CET 2023,Pharmacology,INI-CET,AIIMS/INI-CET,2023,34,34,1236,1275,965,1247
59,Pharmacology INI-CET 2024,Pharmacology,INI-CET,AIIMS/INI-CET,2024,24,24,1276,1298,965,1287
60,Pharmacology NEET 2024,Pharmacology,NEET PG,NEET PG,2024,24,24,1299,1323,965,1310
61,Microbiology AIIMS 2017,Microbiology,AIIMS,AIIMS/INI-CET,2017,28,28,1324,1349,1323,1334
62,Microbiology AIIMS 2018,Microbiology,AIIMS,AIIMS/INI-CET,2018,24,24,1350,1374,1323,1360
63,Microbiology AIIMS 2019 (May & Nov),Microbiology,AIIMS,AIIMS/INI-CET,2019,20,20,1375,1391,1323,1385
64,Microbiology AIIMS 2020 (May & Nov INI-CET),Microbiology,AIIMS,AIIMS/INI-CET,2020,37,37,1392,1432,1323,1402
65,Microbiology NEET 2018,Microbiology,NEET PG,NEET PG,2018,18,18,1433,1445,1323,1443
66,Microbiology NEET 2019,Microbiology,NEET PG,NEET PG,2019,23,23,1446,1468,1323,1456
67,Microbiology NEET 2020,Microbiology,NEET PG,NEET PG,2020,20,20,1469,1488,1323,1479
68,Microbiology INI-CET 2021,Microbiology,INI-CET,AIIMS/INI-CET,2021,25,25,1489,1537,1323,1499
69,Microbiology NEET 2021,Microbiology,NEET PG,NEET PG,2021,11,11,1538,1559,1323,1548
70,Microbiology INI-CET 2022,Microbiology,INI-CET,AIIMS/INI-CET,2022,45,45,1560,1618,1323,1570
71,Microbiology NEET 2022,Microbiology,NEET PG,NEET PG,2022,11,11,1619,1638,1323,1629
72,Microbiology NEET 2023,Microbiology,NEET PG,NEET PG,2023,13,13,1639,1660,1323,1649
73,Microbiology INI-CET 2023,Microbiology,INI-CET,AIIMS/INI-CET,2023,34,34,1661,1707,1323,1671
74,Microbiology INI-CET 2024,Microbiology,INI-CET,AIIMS/INI-CET,2024,37,37,1708,1757,1323,1718
75,Microbiology NEET 2024,Microbiology,NEET PG,NEET PG,2024,24,24,1758,1797,1323,1768
76,Pathology AIIMS 2017,Pathology,AIIMS,AIIMS/INI-CET,2017,34,34,1798,1834,1797,1807
77,Pathology AIIMS 2018,Pathology,AIIMS,AIIMS/INI-CET,2018,22,22,1835,1855,1797,1844
78,Pathology AIIMS 2019 (May & Nov),Pathology,AIIMS,AIIMS/INI-CET,2019,33,33,1856,1886,1797,1865
79,Pathology AIIMS 2020 (May & Nov INI-CET),Pathology,AIIMS,AIIMS/INI-CET,2020,34,34,1887,1921,1797,1896
80,Pathology NEET 2018,Pathology,NEET PG,NEET PG,2018,20,20,1922,1937,1797,1931
81,Pathology NEET 2019,Pathology,NEET PG,NEET PG,2019,19,19,1938,1956,1797,1947
82,Pathology NEET 2020,Pathology,NEET PG,NEET PG,2020,26,26,1957,1986,1797,1966
83,Pathology INI-CET 2021,Pathology,INI-CET,AIIMS/INI-CET,2021,34,34,1987,2050,1797,1996
84,Pathology NEET 2021,Pathology,NEET PG,NEET PG,2021,15,15,2051,2076,1797,2060
85,Pathology INI-CET 2022,Pathology,INI-CET,AIIMS/INI-CET,2022,57,57,2077,2167,1797,2086
86,Pathology NEET 2022,Pathology,NEET PG,NEET PG,2022,10,10,2168,2186,1797,2177
87,Pathology NEET 2023,Pathology,NEET PG,NEET PG,2023,12,12,2187,2208,1797,2196
88,Pathology INI-CET 2023,Pathology,INI-CET,AIIMS/INI-CET,2023,41,41,2209,2258,1797,2218
89,Pathology INI-CET 2024,Pathology,INI-CET,AIIMS/INI-CET,2024,31,31,2259,2293,1797,2268
